artist,alphaname
John Lennon,"Lennon, John"
Little Feat,Little Feat
35007,Loose
Love,Love
Magic Shoppe,Magic Shoppe
Magma,Magma
Mahavishnu Orchestra,Mahavishnu Orchestra
Herbie Mann,"Mann, Herbie"
John Mayall,"Mayall, John"
Paul McCartney,"McCartney, Paul"
John McLaughlin,"McLaughlin, John"
Brad Mehldau,"Mehldau, Brad"
Al Di Meola,"Meola Di, Al"
Thelonious Monk,"Monk, Thelonious"
Lee Morgan,"Morgan, Lee"
Ennio Morricone,"Morricone, Ennio"
Jim Morrison,"Morrison, Jim"
Van Morrison,"Morrison, Van"
The Mothers Of Invention,"Mothers Of Invention, The"
Museo Rosenbach,Museo Rosenbach
Gianna Nannini,"Nannini, Gianna"
Napoli Centrale,Napoli Centrale
Natural Child,Natural Child
New Trolls,New Trolls
Janko Nilovic,"Nilovic, Janko"
Le Orme,"Orme, Le"
Ozric Tentacles,Ozric Tentacles
P.F.M.,P.F.M.
Premiata Forneria Marconi,Premiata Forneria Marconi
Jimmy Page,"Page, Jimmy"
The Paul Butterfield Blues Band,"Paul Butterfield Blues Band, The"
Pearl Jam,Pearl Jam
Tom Petty,"Petty, Tom"
Pink Floyd,Pink Floyd
The Police,"Police, The"
Jean-Luc Ponty,"Ponty, Jean-Luc"
The Pretty Things,"Pretty Things, The"
Psychic Ills,Psychic Ills
Quicksilver Messenger Service,Quicksilver Messenger Service
Maurice Ravel,"Ravel, Maurice"
Steve Reich,"Reich, Steve"
Keith Richards,"Richards, Keith"
Terry Riley,"Riley, Terry"
Rush,Rush
Leon Russell,"Russell, Leon"
Santana,Santana
Erik Satie,"Satie, Erik"
Merl Saunders,"Saunders, Merl"
Irmin Schmidt,"Schmidt, Irmin"
Shocking Blue,Shocking Blue
Horace Silver,"Silver, Horace"
Simon & Garfunkel,Simon & Garfunkel
Paul Simon,"Simon, Paul"
Nina Simone,"Simone, Nina"
Elliott Smith,"Smith, Elliott"
Patti Smith,"Smith, Patti"
Soft Machine,Soft Machine
Sonic Youth,Sonic Youth
Spirit,Spirit
Steely Dan,Steely Dan
Stephen Stills,"Stills, Stephen"
Igor Stravinsky,"Stravinsky, Igor"
Strawberry Alarm Clock,Strawberry Alarm Clock
Sun Ra,Sun Ra
T. Rex,T. Rex
Masayoshi Takanaka,"Takanaka, Masayoshi"
Talking Heads,Talking Heads
Tangerine Dream,Tangerine Dream
Mick Taylor,"Taylor, Mick"
Television,Television
Ten Years After,Ten Years After
Tinariwen,Tinariwen
Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers
Traffic,Traffic
Traveling Wilburys,Traveling Wilburys
Triumvirat,Triumvirat
UFO,UFO
Ultimate Spinach,Ultimate Spinach
Umphrey's McGee,Umphrey's McGee
Van Der Graaf Generator,Van Der Graaf Generator
Van Halen,Van Halen
Vangelis,Vangelis
Eddie Vedder,"Vedder, Eddie"
The Velvet Underground,"Velvet Underground, The"
Tom Waits,"Waits, Tom"
Weather Report,Weather Report
The Who,"Who, The"
Ronnie Wood,"Wood, Ronnie"
Wooden Shjips,Wooden Shjips
The Yardbirds,"Yardbirds, The"
Yes,Yes
Neil Young,"Young, Neil"
ZZ Top,ZZ Top
Frank Zappa,"Zappa, Frank"
The Zodiac,"Zodiac, The"
Zucchero,Zucchero
Zupfgeigenhansel,Zupfgeigenhansel
